Student Review,Experience (years),No. of Research Papers Published,Seminars Taken,Events,Attendance (%),Appraisal (%)
1,10,13,3,3,86.57,8.97
3,13,12,5,8,92.72,9.75
4,15,14,6,0,82.1,9.14
8,3,6,10,10,79.34,7.98
6,10,15,10,1,84.06,9.39
10,7,1,9,3,90.71,8.48
7,4,15,2,2,87.36,9.29
8,4,5,8,0,91.89,8.67
2,8,12,6,4,94.31,9.52
10,13,5,0,6,91.48,9.15
8,15,36,1,1,88.26,12.23
3,11,2,0,4,86.39,7.86
7,3,5,10,5,78.68,7.66
3,14,9,8,10,94.73,9.72
7,8,36,8,6,84.52,11.78
2,11,15,6,0,80.59,8.82
10,10,13,9,6,89.33,9.9
6,13,4,2,3,82.83,8.09
3,8,15,4,7,87.96,9.42
3,5,11,3,3,87.98,8.74
9,10,1,6,5,85.58,8.13
7,11,8,8,8,92.21,9.46
5,3,7,1,4,82.5,7.86
10,14,2,7,3,85.63,8.48
7,11,7,8,7,87.14,8.93
9,8,13,9,8,89.28,9.78
1,8,8,9,3,91.33,8.81
7,14,13,8,2,84.71,9.45
6,6,14,9,7,88.98,9.58
10,3,2,6,4,80.56,7.55
9,12,2,8,1,93.86,8.96
1,10,1,8,9,84.51,7.69
4,4,7,2,8,90.4,8.58
9,14,9,3,2,78.35,8.52
4,3,0,1,1,81.49,6.89
10,4,7,9,0,86.28,8.59
3,3,6,2,7,92.93,8.54
9,3,13,10,10,86.96,9.42
2,11,6,10,2,93.81,8.99
4,15,2,4,6,86.22,8.22
6,3,0,4,0,86.34,7.43
2,15,3,5,0,80.04,7.62
8,6,8,6,8,91.65,9.2
8,12,4,6,7,82.2,8.27
1,8,0,0,2,93.29,7.88
3,9,14,1,5,93.48,9.7
10,4,4,8,10,94.04,9.05
9,8,12,9,2,86.84,9.36
5,9,7,12,3,89.51,8.9
6,12,7,5,0,91.23,9.05
4,12,4,10,4,80.23,7.9
10,4,11,10,0,88.22,9.21
2,4,26,0,0,78.58,9.43
8,12,8,2,9,86.46,9.02
6,22,14,1,10,80.63,9.58
5,14,0,2,10,81.11,7.64
9,3,3,4,6,84.21,7.89
1,10,2,10,5,85.35,7.83
5,13,1,9,19,66.03,6.82
6,15,14,5,10,79.27,9.21
5,5,7,8,1,86.56,8.36
6,13,6,10,10,81.1,8.48
6,8,8,9,6,87.76,8.89
7,11,1,3,0,88.84,8.16
4,8,13,6,1,87.46,9.14
8,11,13,5,7,90.55,9.87
7,9,15,1,12,83.71,9.41
9,11,3,9,1,91.01,8.81
7,4,13,10,6,85.36,9.14
3,14,14,10,3,86.23,9.5
3,10,5,10,1,89.02,8.49
8,16,10,7,5,78.31,8.8
5,4,2,6,10,89.12,8.1
4,14,7,6,8,88.52,8.98
8,6,2,7,10,83.27,7.93
6,13,13,29,8,79.46,9.46
2,9,11,0,7,79.55,8.22
4,13,12,0,2,93.69,9.66
4,6,12,7,2,89.72,9.15
6,6,15,3,1,80.16,8.75
6,35,1,4,4,84.06,8.96
1,12,12,7,3,88.07,9.15
8,8,12,4,6,92.2,9.71
6,12,2,9,3,78.74,7.64
3,5,10,3,8,82.02,8.25
9,11,5,5,1,93.13,9.12
2,14,15,4,10,78.16,8.93
8,12,1,6,5,81.42,7.84
10,13,7,9,6,94.3,9.77
3,4,0,6,3,88.43,7.56
5,33,6,3,5,82.45,9.24
6,14,1,4,6,79.14,7.61
10,9,9,2,3,78.48,8.35
6,14,11,3,7,82.16,8.96
4,15,15,3,8,92.99,10.22
3,11,5,2,0,85.07,8.05
4,15,11,9,6,90.25,9.63
1,5,1,4,8,93.61,8.08
4,12,1,4,9,84.94,7.92
1,40,48,10,4,81.25,14.02
1,9,12,6,1,86.79,8.85
10,6,7,3,9,93.44,9.31
6,15,14,3,5,91.67,10.06
5,10,14,8,6,79.12,8.89
4,15,11,5,1,89.77,9.42
3,9,1,3,1,87.72,7.76
1,7,6,1,9,93.43,8.67
6,9,2,5,9,64.23,8.49
2,5,7,1,0,87.08,8.06
8,14,6,4,3,92.95,9.32
10,32,13,5,6,84.97,10.52
5,32,7,3,8,86.19,9.66
7,4,13,2,2,79.2,8.42
10,5,6,6,10,52.68,6
2,8,10,1,6,83.52,8.38
8,7,5,10,6,94.07,9.15
2,10,12,5,6,82.81,8.72
4,11,6,3,1,85.83,8.32
1,13,4,5,5,55.99,5.76
5,27,6,3,1,93.75,9.77
9,14,28,3,5,64.18,9.56
1,12,0,3,9,90.56,8.05
9,5,8,8,19,80.3,11.4
8,5,13,6,1,88.65,9.33
6,15,4,2,5,89.37,8.75
7,20,12,2,1,80.15,9.12
3,8,4,5,4,94.08,8.65
1,3,2,5,1,80.25,6.91
5,9,4,3,2,91.17,8.5
2,14,2,18,2,82.5,7.95
5,3,8,3,5,93.87,8.94
8,7,8,8,5,90.24,9.12
9,12,5,3,9,90.81,9.11
2,15,14,1,2,81.72,8.93
3,10,0,1,2,85.53,7.5
3,6,6,4,0,88.5,8.23
1,7,6,3,6,91.09,8.47
8,6,15,6,7,79.77,9.02
6,14,13,10,1,94.36,10.17
8,25,9,4,3,93.13,10.2
9,6,9,5,9,82.6,8.65
5,14,3,9,6,91.99,8.89
3,10,7,3,7,86.81,8.52
5,4,5,1,0,85.85,7.88
5,3,3,9,3,83.35,7.63
5,5,3,8,5,87.88,8.1
3,11,15,9,2,90.41,12.98
10,6,1,6,4,84.99,7.93
4,12,13,3,9,88.7,9.53
9,7,1,2,8,89.89,8.31
10,4,11,9,10,90.09,9.53
9,6,13,2,2,78.88,8.6
2,4,3,8,4,92.62,8.23
8,4,4,4,7,85.79,8.14
8,6,7,2,5,82.46,8.22
7,8,14,4,3,82.11,9.01
8,9,5,1,7,86.21,8.46
3,12,13,10,10,93.08,9.98
6,5,14,3,2,84.43,8.95
1,5,3,9,2,90.75,8.05
7,12,12,1,3,79.65,8.72
1,8,10,1,8,86.09,8.56
9,15,6,7,4,94.86,9.66
1,14,7,0,7,91.1,8.87
1,5,39,6,5,81.58,11.32
7,15,11,4,2,86.52,9.34
2,4,6,10,7,81.97,7.82
5,10,14,7,8,84.96,9.37
8,7,24,0,7,91.26,10.86
8,3,1,10,3,91.11,8.22
3,5,1,6,10,81.88,7.34
7,12,7,4,5,93.68,9.38
3,10,1,3,0,92.67,8.18
6,6,14,6,3,84.46,9.08
6,34,10,9,7,86.53,10.27
3,12,8,1,0,88.29,8.66
7,14,11,0,2,87.52,9.29
3,4,0,0,0,86.27,7.21
8,24,14,10,8,86.58,10.4
10,7,8,0,1,81,8.26
4,7,14,4,8,91.82,9.65
1,8,0,9,3,87.21,7.6
4,15,9,6,1,80.23,8.46
7,11,12,1,3,91.02,9.58
4,8,9,9,10,93.85,9.44
6,14,1,7,10,94.1,8.94
9,15,15,3,9,84.27,9.84
1,10,5,2,12,80.3,7.74
5,9,5,9,10,82.08,8.17
7,11,0,10,6,79.91,7.6
1,6,6,7,2,93.88,8.64
4,4,7,1,11,81.12,7.88
6,9,1,10,9,82.3,7.8
2,8,7,10,7,84.91,8.35
10,3,8,2,4,84.51,8.45
5,13,5,2,3,91.51,8.83
10,11,4,9,6,85.76,8.67
1,11,11,10,6,80.9,8.54
6,14,8,0,8,74.24,7.96
6,4,15,5,8,86.65,9.35
4,5,12,1,4,80.51,8.3
8,7,11,0,7,88.4,9.19
4,27,10,1,9,87.62,9.79
8,3,8,5,0,90.15,8.76
8,10,0,3,8,93.94,8.63
5,14,10,5,7,59.57,7.04
4,10,2,8,5,94.08,8.66
2,6,8,9,2,82.16,8.03
3,15,10,9,2,80.24,8.59
3,39,1,7,7,83.14,9.02
4,13,11,0,4,93.22,9.56
4,12,3,7,9,94.52,8.96
10,5,3,8,10,92.61,8.87
5,8,1,5,6,79.87,7.35
4,12,14,9,4,94.11,10.09
10,15,2,4,7,85.2,8.51
8,12,12,5,9,78.16,8.86
6,14,2,5,9,85.52,8.31
6,11,36,8,3,78.78,11.35
8,3,5,3,1,87.25,8.18
7,20,15,1,2,83.76,9.74
10,6,7,10,7,86.05,8.82
10,10,11,10,10,88.42,9.71
8,13,2,8,6,92.77,8.96
2,14,4,1,1,89.25,8.35
9,3,0,9,5,85.38,7.73
